10
"[[  4.98269682e+01]
 [  9.99565428e+00]
 [ -6.98588393e+00]
 [  2.47013468e-02]
 [  3.87387953e-02]]"
"[[  1.98849419e+01]
 [  5.00072202e+00]
 [  1.40362963e-03]
 [  4.74818863e-02]
 [  1.95616364e+00]]"
50
"[[  4.91654451e+01]
 [  1.00051105e+01]
 [ -6.97289573e+00]
 [ -1.81617048e-08]
 [  1.52646033e-06]]"
"[[  1.92750516e+01]
 [  5.01141298e+00]
 [  6.53499265e-03]
 [  2.77041407e-02]
 [  1.89582980e+00]]"
100
"[[  1.85013439e+01]
 [  5.02490969e+00]
 [  1.33875919e-02]
 [  1.76424879e-02]
 [  1.81722763e+00]]"
"[[  4.83378177e+01]
 [  1.00174006e+01]
 [ -6.95689561e+00]
 [ -1.61708106e-07]
 [  9.37295194e-08]]"
